UKPRN,PROVIDER_NAME,UPDATED
10006442,Birmingham Metropolitan College,04/09/2018
10006463,Swindon College,04/09/2018
10006494,Tameside College,04/09/2018
10006549,Telford College,04/09/2018
10006566,The University of West London,04/09/2018
10006570,EKC Group,04/09/2018
10006770,The Oldham College,04/09/2018
10006840,The University of Birmingham,04/09/2018
10006841,The University of Bolton,04/09/2018
10006842,The University of Liverpool,04/09/2018
10006963,New City College,04/09/2018
10007011,Northampton College,04/09/2018
10007063,Truro and Penwith College,04/09/2018
10007114,University of the Highlands and Islands,04/09/2018
10007137,The University of Chichester,04/09/2018
10007138,The University of Northampton,04/09/2018
10007139,University of Worcester,04/09/2018
10007140,Birmingham City University,04/09/2018
10007141,The University of Central Lancashire,04/09/2018
10007143,University of Durham,04/09/2018
10007144,The University of East London,04/09/2018
10007145,University of Gloucestershire,04/09/2018
10007146,The University of Greenwich,04/09/2018
10007147,University of Hertfordshire,04/09/2018
10007148,The University of Huddersfield,04/09/2018
10007150,The University of Kent,04/09/2018
10007151,The University of Lincoln,04/09/2018
10007152,University of Bedfordshire,04/09/2018
10007155,The University of Portsmouth,04/09/2018
10007156,The University of Salford,04/09/2018
10007157,The University of Sheffield,04/09/2018
10007158,The University of Southampton,04/09/2018
10007159,The University of Sunderland,04/09/2018
10007160,The University of Surrey,04/09/2018
10007161,Teesside University,04/09/2018
10007162,"University of the Arts, London",04/09/2018
10007163,The University of Warwick,04/09/2018
10007164,"University of the West of England, Bristol",04/09/2018
10007165,The University of Westminster,04/09/2018
10007166,The University of Wolverhampton,04/09/2018
10007167,The University of York,04/09/2018
10007193,HCUC,04/09/2018
10007289,Wakefield College,04/09/2018
10007361,Waverley Abbey College,04/09/2018
10007417,West Herts College,04/09/2018
10007419,West Kent and Ashford College,04/09/2018
10007427,West Nottinghamshire College,04/09/2018
10007431,West Suffolk College,04/09/2018
10007434,West Thames College,04/09/2018
10007459,Weston College of Further and Higher Education,04/09/2018
10007469,Weymouth College,04/09/2018
10007500,Wigan and Leigh College,04/09/2018
10007527,Wiltshire College,04/09/2018
10007553,Wirral Metropolitan College,04/09/2018
10007578,City of Wolverhampton College,04/09/2018
10007643,Worthing College,04/09/2018
10007657,Writtle University College,04/09/2018
10007696,Yeovil College,04/09/2018
10007709,York College,04/09/2018
10007713,York St John University,04/09/2018
10007759,Aston University,04/09/2018
10007760,Birkbeck College,04/09/2018
10007761,Courtauld Institute of Art,04/09/2018
10007762,Glasgow Caledonian University,04/09/2018
10007764,Heriot-Watt University,04/09/2018
10007767,Keele University,04/09/2018
10007768,The University of Lancaster,04/09/2018
10007772,Edinburgh Napier University,04/09/2018
10007773,The Open University,04/09/2018
10007774,The University of Oxford,04/09/2018
10007775,Queen Mary University of London,04/09/2018
10007776,Roehampton University,04/09/2018
10007778,Royal College of Music,04/09/2018
10007779,The Royal Veterinary College,04/09/2018
10007780,SOAS University of London,04/09/2018
10007782,"St George's, University of London",04/09/2018
10007783,The University of Aberdeen,04/09/2018
10007784,University College London,04/09/2018
10007785,The University of Bradford,04/09/2018
10007786,The University of Bristol,04/09/2018
10007787,The University of Buckingham,04/09/2018
10007788,The University of Cambridge,04/09/2018
10007789,The University of East Anglia,04/09/2018
10007790,The University of Edinburgh,04/09/2018
10007791,The University of Essex,04/09/2018
10007792,The University of Exeter,04/09/2018
10007793,University of South Wales,04/09/2018
10007794,The University of Glasgow,04/09/2018
10007795,The University of Leeds,04/09/2018
10007796,The University of Leicester,04/09/2018
10007798,The University of Manchester,04/09/2018
10007799,Newcastle University,04/09/2018
10007800,The University of the West of Scotland,04/09/2018
10007801,University of Plymouth,04/09/2018
10007802,The University of Reading,04/09/2018
10007803,The University of St Andrews,04/09/2018
10007804,The University of Stirling,04/09/2018
10007805,The University of Strathclyde,04/09/2018
10007806,The University of Sussex,04/09/2018
10007807,Ulster University,04/09/2018
10007811,Bishop Grosseteste University,04/09/2018
10007812,University of London Institute in Paris,04/09/2018
10007814,Cardiff University,04/09/2018
10007816,The Royal Central School of Speech and Drama,04/09/2018
10007817,Chichester College Group,04/09/2018
10007820,Grŵp Llandrillo Menai,04/09/2018
10007823,Edge Hill University,04/09/2018
10007825,Guildhall School of Music and Drama,04/09/2018
10007832,Newman University,04/09/2018
10007833,Glyndŵr University,04/09/2018
10007834,Pembrokeshire College,04/09/2018
10007835,Royal Academy of Music,04/09/2018
10007837,Royal Northern College of Music,04/09/2018
10007838,Royal Welsh College of Music and Drama Limited,04/09/2018
10007839,SAE Education Limited,04/09/2018
10007843,"St Mary's University, Twickenham",04/09/2018
10007848,University of Chester,04/09/2018
10007849,University of Abertay Dundee,04/09/2018
10007850,The University of Bath,04/09/2018
10007851,University of Derby,04/09/2018
10007852,The University of Dundee,04/09/2018
10007854,Cardiff Metropolitan University,04/09/2018
10007855,Swansea University,04/09/2018
10007856,Aberystwyth University,04/09/2018
10007857,Bangor University,04/09/2018
10007858,University of Wales Trinity Saint David,04/09/2018
10007859,Warwickshire College,04/09/2018
10007912,Cliff College,04/09/2018
10007924,Dudley College of Technology,04/09/2018
10007928,Fareham College,04/09/2018
10007937,GSM London,04/09/2018
10007938,Grimsby Institute of Further and Higher Education,04/09/2018
10007945,Highbury College Portsmouth,04/09/2018
10007977,Heart of Worcestershire College,04/09/2018
10008010,Stranmillis University College,04/09/2018
10008017,Trinity Laban Conservatoire of Music and Dance,04/09/2018
10008026,St Mary's University College,04/09/2018
10008071,AA School of Architecture,04/09/2018
10008119,Bridgend College,04/09/2018
10008173,University College of Estate Management,04/09/2018
10008289,The London Institute of Banking and Finance,04/09/2018
10008325,KLC School of Design,04/09/2018
10008362,London School of Science and Technology Limited,04/09/2018
10008397,Norland College,04/09/2018
10008430,Platform One (IOW) Limited,04/09/2018
10008455,Regent College,04/09/2018
10008640,Falmouth University,04/09/2018
10008912,Coleg Gwent,04/09/2018
10008914,Coleg Y Cymoedd,04/09/2018
10009527,Istituto Marangoni Limited,04/09/2018
10009612,Luther King House Educational Trust,04/09/2018
10009614,Grŵp NPTC Group,04/09/2018
10009619,Merthyr Tydfil College Limited,04/09/2018
10010213,The City College,04/09/2018
10010227,Oak Hill College,04/09/2018
10010308,Cambridge Arts and Sciences Limited,04/09/2018
