KISCOURSEID,SBJ
DFAUFF,CAH06-01-05
DFCFBF,CAH06-01-01
DFCFBF,CAH06-01-01
DFCMXF,CAH06-01-04
DFCMXF,CAH06-01-04
DFEAMF,CAH06-01-03
DFEARF,CAH06-01-03
DFEBMF,CAH06-01-01
DFEBMP,CAH06-01-01
DFECMF,CAH06-01-04
DFEEBF,CAH06-01-01
DFENTF,CAH23-01-02
DFESCF,CAH06-01-01
DFHORF,CAH06-01-03
DFHORF,CAH06-01-03
DFSAOF,CAH03-02-01
DFSAOF,CAH03-02-01
DFSSCF,CAH03-02-01
DFSSCP,CAH03-02-01
DFVNXF,CAH05-01-02
EFEHOF,CAH06-01-03
HANI1L5FDAM,CAH21-01-03
HBUS1L5FDAY,CAH17-01-09
HCOM1L5FDAY,CAH11-01-01
HHEA1L5FDAY,CAH02-03-12
HMUT1L5FDAM,CAH21-01-06
Q170F016,CAH21-01-03
Q170F017,CAH21-01-08
Q170F019,CAH21-01-08
BAL6CHYSA1P,CAH22-01-01
BSL6BUSNA1P,CAH17-01-02
BSL6COMPA1P,CAH11-01-01
DGL4ENGTA1P,CAH10-01-01
FDL5BUSNA1P,CAH17-01-02
FDL5BUSNC1P,CAH17-01-02
FDL5CYPSA1P,CAH15-04-02
FDL5DENTA1P,CAH10-01-06
FDL5EVMGA1P,CAH17-01-06
FDL5FDCOA1P,CAH11-01-01
FDL5SENDA1P,CAH15-01-02
FDL5SENDA1P,CAH22-01-01
HDL5SPESA1P,CAH03-02-01
AT29EHNDFT,CAH10-01-01
AT39BMFDFT,CAH17-01-09
AT49AMFDFT,CAH06-01-03
CA39BAFAFT,CAH21-01-02
CA49BAPMFT,CAH21-01-05
CA49FDTTFT,CAH21-01-06
CA49GDFDFT,CAH11-01-06
CPESDFT,CAH23-01-01
CPESDPT,CAH23-01-01
PAHEFT,CAH23-01-01
PAHEPT,CAH23-01-01
PS39PHNDFT,CAH15-03-01
PS39THNDFT,CAH17-01-06
PS69PPHSFT,CAH02-03-12
SCFSCFT,CAH15-01-02
SEYFDFT,CAH22-01-01
SLANFT,CAH22-01-02
SLANFT,CAH22-01-01
BA-ACT,CAH21-01-06
BA-ACT-SW,CAH21-01-06
BA-BM,CAH17-01-02
BA-BM-SW,CAH17-01-02
BA-BMACC,CAH17-01-08
BA-BMACC-SW,CAH17-01-08
BA-BMENP,CAH17-01-02
BA-BMENP-SW,CAH17-01-02
BA-BMFAE,CAH17-01-02
BA-BMFAE-SW,CAH17-01-02
BA-BMHRM,CAH17-01-05
BA-BMHRM-SW,CAH17-01-05
BA-BMINT,CAH17-01-02
BA-BMINT-SW,CAH17-01-02
BA-BMLAW,CAH17-01-02
BA-BMLAW-SW,CAH17-01-02
BA-BMM,CAH17-01-03
BA-BMM-SW,CAH17-01-03
BA-BMTM,CAH17-01-06
BA-BMTM-SW,CAH17-01-06
BA-CAARACE,CAH21-01-02
BA-CAARACE,CAH21-01-03
BA-CAARACE-SW,CAH21-01-01
BA-CAARACE-SW,CAH21-01-03
BA-CAARACW,CAH19-01-05
BA-CAARACW,CAH21-01-02
BA-CAARACW-SW,CAH19-01-05
BA-CAARACW-SW,CAH21-01-01
BA-CAARADAN,CAH21-01-01
BA-CAARADAN,CAH21-01-07
BA-CAARADAN-SW,CAH21-01-01
BA-CAARADAN-SW,CAH21-01-07
BA-CAARADRA,CAH21-01-01
BA-CAARADRA,CAH21-01-06
BA-CAARADRA-SW,CAH21-01-06
BA-CAARADRA-SW,CAH21-01-01
BA-CAARAMU,CAH21-01-02
BA-CAARAMU,CAH21-01-05
BA-CAARAMU-SW,CAH21-01-01
BA-CAARAMU-SW,CAH21-01-05
BA-CAARATD,CAH21-01-02
BA-CAARATD,CAH21-01-03
BA-CAARATD-SW,CAH21-01-01
BA-CAARATD-SW,CAH21-01-03
BA-CAARAVD,CAH21-01-02
BA-CAARAVD,CAH21-01-03
BA-CAARAVD-SW,CAH21-01-01
BA-CAARAVD-SW,CAH21-01-03
BA-CACEACW,CAH19-01-05
BA-CACEACW,CAH21-01-03
BA-CACEACW-SW,CAH19-01-05
BA-CACEACW-SW,CAH21-01-03
BA-CACEADAN,CAH21-01-03
BA-CACEADAN,CAH21-01-07
BA-CACEADAN-SW,CAH21-01-03
BA-CACEADAN-SW,CAH21-01-07
BA-CACEADRA,CAH21-01-03
BA-CACEADRA,CAH21-01-06
BA-CACEADRA-SW,CAH21-01-03
BA-CACEADRA-SW,CAH21-01-06
BA-CACEAMU,CAH21-01-03
BA-CACEAMU,CAH21-01-05
BA-CACEAMU-SW,CAH21-01-03
BA-CACEAMU-SW,CAH21-01-05
BA-CACEATD,CAH21-01-03
BA-CACEATD-SW,CAH21-01-03
BA-CACEAVD,CAH21-01-03
BA-CACEAVD-SW,CAH21-01-03
BA-CACWADAN,CAH19-01-05
BA-CACWADAN,CAH21-01-07
BA-CACWADAN-SW,CAH21-01-07
BA-CACWADAN-SW,CAH19-01-05
BA-CACWADRA,CAH19-01-05
BA-CACWADRA,CAH21-01-06
BA-CACWADRA-SW,CAH19-01-05
BA-CACWADRA-SW,CAH21-01-06
BA-CACWAMU,CAH19-01-05
BA-CACWAMU,CAH21-01-05
BA-CACWAMU-SW,CAH19-01-05
BA-CACWAMU-SW,CAH21-01-05
BA-CACWATD,CAH19-01-05
BA-CACWATD,CAH21-01-03
BA-CACWATD-SW,CAH19-01-05
BA-CACWATD-SW,CAH21-01-03
BA-CACWAVD,CAH19-01-05
BA-CACWAVD,CAH21-01-03
BA-CACWAVD-SW,CAH19-01-05
BA-CACWAVD-SW,CAH21-01-03
BA-CADANADRA,CAH21-01-07
BA-CADANADRA-SW,CAH21-01-06
BA-CADANADRA-SW,CAH21-01-07
BA-CADANAMU,CAH21-01-05
BA-CADANAMU,CAH21-01-07
BA-CADANAMU-SW,CAH21-01-07
BA-CADANAMU-SW,CAH21-01-05
BA-CADANATD,CAH21-01-07
BA-CADANATD,CAH21-01-03
BA-CADANATD-SW,CAH21-01-03
BA-CADANATD-SW,CAH21-01-07
BA-CADANAVD,CAH21-01-07
BA-CADANAVD,CAH21-01-03
BA-CADANAVD-SW,CAH21-01-03
BA-CADANAVD-SW,CAH21-01-07
BA-CADRAAMU,CAH21-01-05
BA-CADRAAMU,CAH21-01-06
BA-CADRAAMU-SW,CAH21-01-06
BA-CADRAAMU-SW,CAH21-01-05
BA-CADRAATD,CAH21-01-03
BA-CADRAATD,CAH21-01-06
BA-CADRAATD-SW,CAH21-01-03
BA-CADRAATD-SW,CAH21-01-06
BA-CADRAAVD,CAH21-01-06
BA-CADRAAVD,CAH21-01-03
BA-CADRAAVD-SW,CAH21-01-06
BA-CADRAAVD-SW,CAH21-01-03
BA-CAMUATD,CAH21-01-05
BA-CAMUATD,CAH21-01-03
BA-CAMUATD-SW,CAH21-01-03
BA-CAMUATD-SW,CAH21-01-05
BA-CAMUAVD,CAH21-01-03
BA-CAMUAVD,CAH21-01-05
BA-CAMUAVD-SW,CAH21-01-03
BA-CAMUAVD-SW,CAH21-01-05
BA-CAP,CAH21-01-09
BA-CAP-FY,CAH21-01-01
BA-CAP-SW,CAH21-01-01
BA-CATDAVD,CAH21-01-03
BA-CATDAVD-SW,CAH21-01-03
BA-CM,CAH21-01-05
BA-CM-SW,CAH21-01-05
BA-COM,CAH21-01-06
BA-COM-SW,CAH21-01-06
BA-CRM,CAH21-01-01
BA-CRM-SW,CAH21-01-01
BA-CW,CAH19-01-05
BA-CW-SW,CAH19-01-05
BA-DAN,CAH21-01-07
BA-DAN-SW,CAH21-01-07
BA-DIGAN,CAH21-01-07
BA-DIGAN-FY,CAH21-01-08
